STATION,NAME,DATE,PRCP,TMAX,TMIN,year,month,day
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-14,0.2,71,49,2014,8,14
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-15,0,73,52,2014,8,15
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-16,0,75,50,2014,8,16
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-17,0,77,51,2014,8,17
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-18,0,77,55,2014,8,18
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-19,0.2,62,47,2014,8,19
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-20,1.4,65,45,2014,8,20
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-21,0.1,65,45,2014,8,21
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-22,0.4,67,44,2014,8,22
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-23,0.9,55,37,2014,8,23
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-24,0.6,62,39,2014,8,24
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-25,0.1,64,42,2014,8,25
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-26,0,63,46,2014,8,26
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-27,0.1,58,43,2014,8,27
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-28,0,64,43,2014,8,28
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-29,0,71,45,2014,8,29
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-30,0,65,50,2014,8,30
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-08-31,0,60,44,2014,8,31
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-01,0,63,43,2014,9,1
USS0011J21S,"TIMPANOGOS DIVIDE, UT US",2014-09-02,0.1,72,45,2014,9,2
